symbol,direction,entry_date,entry_time_et,expiration,dte,short,long,width,opt,short_delta,credit,raw_mid,slip_leg,qty,spot,ivr,iv_used,regime,leadership,exit_date,exit_time_et,exit_cost,exit_reason,pnl
QQQ,bullish,2025-09-03,10:55,2025-09-12,9,590,580,10,P,-0.2349,8.71,8.81,0.05,3,603.06629,91.7,0.2074,CHOP,CYCLICAL_LED,2025-09-10,08:30,6.125,time_exit_2dte,771.6
SPY,bullish,2025-09-08,10:20,2025-09-19,11,650,640,10,P,-0.1796,3.005,3.105,0.05,1,667.29176,90.0,0.1764,UP,CYCLICAL_LED,2025-09-11,09:35,1.585,tp,140.7
TSLA,bullish,2025-09-22,10:45,2025-10-03,11,420,415,5,P,-0.2968,1.38,1.48,0.05,1,441.0095,95.0,0.6001,UP,CYCLICAL_LED,2025-10-01,08:30,0.88,time_exit_2dte,48.7
QQQ,bullish,2025-10-02,10:45,2025-10-10,8,620,610,10,P,-0.2221,7.765,7.865,0.05,2,631.9022649999999,38.3,0.1797,UP,CYCLICAL_LED,2025-10-08,08:30,9.035,time_exit_2dte,-256.6
SPY,bullish,2025-10-07,09:30,2025-10-17,10,680,670,10,P,-0.2452,5.055,5.155,0.05,1,689.81833,10.0,0.1387,UP,CYCLICAL_LED,2025-10-15,08:30,8.405,time_exit_2dte,-336.3
TSLA,bullish,2025-10-13,12:40,2025-10-24,11,405,400,5,P,-0.2626,1.42,1.52,0.05,1,429.72,83.3,0.5983,CHOP,DEFENSIVE_LED,2025-10-20,08:45,0.77,tp,63.7
TSLA,bullish,2025-10-20,10:50,2025-10-31,11,420,415,5,P,-0.2729,1.27,1.37,0.05,1,443.814,68.3,0.5888,CHOP,DEFENSIVE_LED,2025-10-22,11:20,2.65,stop,-139.3
GOOGL,bullish,2025-10-20,10:00,2025-10-31,11,245,240,5,P,-0.2492,1.26,1.36,0.05,1,255.9865,100.0,0.4058,CHOP,DEFENSIVE_LED,2025-10-27,08:45,0.7,tp,54.7
MSFT,bullish,2025-10-23,09:30,2025-10-31,8,510,500,10,P,-0.2831,2.875,2.975,0.05,1,521.878,98.3,0.2939,UP,DEFENSIVE_LED,2025-10-28,08:30,0.84,tp,202.2
AMZN,bullish,2025-10-21,10:05,2025-10-31,10,215,210,5,P,-0.2937,1.63,1.73,0.05,1,221.26,88.3,0.3523,UP,DEFENSIVE_LED,2025-10-28,12:30,0.9,tp,71.7
META,bullish,2025-10-27,09:30,2025-11-07,11,720,710,10,P,-0.244,2.675,2.825,0.075,1,753.145,91.7,0.4057,UP,DEFENSIVE_LED,2025-10-30,08:30,9.3,stop,-663.8
MSFT,bullish,2025-10-28,09:55,2025-11-07,10,530,520,10,P,-0.2841,3.15,3.25,0.05,1,543.6977,100.0,0.2958,UP,DEFENSIVE_LED,2025-10-31,08:55,6.625,stop,-348.8
AMZN,bullish,2025-10-28,14:50,2025-11-07,10,220,215,5,P,-0.2333,1.5,1.6,0.05,1,229.18,95.0,0.3645,UP,DEFENSIVE_LED,2025-11-03,09:30,0.14,tp,134.7
TSLA,bullish,2025-11-05,09:30,2025-11-14,9,430,425,5,P,-0.2762,1.375,1.475,0.05,1,451.9985,71.7,0.5932,UP,CYCLICAL_LED,2025-11-12,09:30,1.42,time_exit_2dte,-5.8
QQQ,bullish,2025-11-14,09:30,2025-11-21,7,590,580,10,P,-0.2996,2.67,2.77,0.05,1,599.5551,93.3,0.2402,CHOP,CYCLICAL_LED,2025-11-14,10:50,1.4,tp,125.7
NVDA,bullish,2025-11-14,09:30,2025-11-21,7,175.0,172.5,2.5,P,-0.2401,0.75,0.85,0.05,2,182.88,91.7,0.4822,CHOP,CYCLICAL_LED,2025-11-19,09:30,0.81,time_exit_2dte,-14.6
TSLA,bullish,2025-11-26,10:40,2025-12-05,9,405,400,5,P,-0.2831,1.28,1.38,0.05,1,420.99,0.0,0.4728,UP,DEFENSIVE_LED,2025-11-28,09:30,0.74,tp,52.7
TSLA,bullish,2025-12-15,12:50,2025-12-26,11,455,450,5,P,-0.2959,1.35,1.45,0.05,1,476.51,31.7,0.5619,UP,CYCLICAL_LED,2025-12-16,15:40,0.75,tp,58.7
SPY,bullish,2025-12-12,14:55,2025-12-19,7,690,680,10,P,-0.1519,5.64,5.74,0.05,1,704.20832,26.7,0.1507,UP,CYCLICAL_LED,2025-12-17,09:30,8.18,time_exit_2dte,-255.3
META,bullish,2026-01-20,11:20,2026-01-30,10,590,580,10,P,-0.268,3.1,3.25,0.075,1,610.6105,45.0,0.365,UP,CYCLICAL_LED,2026-01-22,10:25,1.68,tp,140.7
TSLA,bullish,2026-01-20,13:40,2026-01-30,10,405,400,5,P,-0.2739,1.27,1.37,0.05,1,423.9927,33.3,0.5088,UP,CYCLICAL_LED,2026-01-22,12:55,0.73,tp,52.7
META,bullish,2026-01-22,11:15,2026-01-30,8,610,600,10,P,-0.2135,2.59,2.74,0.075,1,635.9099,66.7,0.3752,CHOP,DEFENSIVE_LED,2026-01-23,14:05,1.43,tp,114.7
AAPL,bullish,2026-01-22,09:35,2026-01-30,8,245,240,5,P,-0.2936,1.36,1.46,0.05,1,250.16,81.7,0.2824,CHOP,DEFENSIVE_LED,2026-01-27,09:30,0.51,tp,83.7
MSFT,bullish,2026-01-26,09:55,2026-02-06,11,455,450,5,P,-0.2819,1.42,1.52,0.05,1,468.41,96.7,0.3186,UP,DEFENSIVE_LED,2026-01-29,09:30,3.58,stop,-217.3
AAPL,bullish,2026-01-29,12:05,2026-02-06,8,250,245,5,P,-0.2835,1.37,1.47,0.05,1,256.095,100.0,0.3081,UP,DEFENSIVE_LED,2026-01-30,10:10,0.76,tp,59.7
GOOGL,bullish,2026-01-27,14:20,2026-02-06,10,325,320,5,P,-0.28,1.55,1.65,0.05,1,335.53,40.0,0.362,UP,DEFENSIVE_LED,2026-02-03,09:30,0.77,tp,76.7
AMZN,bullish,2026-01-26,10:50,2026-02-06,11,230,225,5,P,-0.2345,1.31,1.41,0.05,1,239.7813,80.0,0.3574,UP,DEFENSIVE_LED,2026-02-04,09:30,1.85,time_exit_2dte,-55.3
GOOGL,bullish,2026-02-04,14:30,2026-02-13,9,320,315,5,P,-0.2916,1.45,1.55,0.05,1,330.31,100.0,0.4043,CHOP,DEFENSIVE_LED,2026-02-05,10:55,3.03,stop,-159.3
NVDA,bearish,2026-02-17,09:55,2026-02-27,10,190.0,192.5,2.5,C,0.2696,0.7,0.8,0.05,2,179.905,98.3,0.4924,DOWN,DEFENSIVE_LED,2026-02-23,09:30,1.825,stop,-227.6
GOOGL,bearish,2026-02-24,09:35,2026-03-06,10,320.0,322.5,2.5,C,0.2732,0.87,0.97,0.05,3,307.5208,68.3,0.3676,DOWN,DEFENSIVE_LED,2026-02-26,09:40,0.44,tp,125.1
IWM,bullish,2026-02-26,15:35,2026-03-06,8,266.0,263.0,3.0,P,-0.2883,1.01,1.11,0.05,2,271.59718,93.3,0.2738,UP,DEFENSIVE_LED,2026-02-27,09:45,2.24,stop,-248.6
