strategy,symbol,structure,entry_date,entry_time_et,expiration,dte,legs,deltas,spot,sigma,credit,debit,qty,slip_leg,n_aligned_bars,exit_date,exit_time_et,exit_cost,exit_reason,pnl
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-09-08,10:00,2025-10-17,39,SP635 / LP620,put_short=-0.288,648.37,0.1464,2.26,,1,0.1,556,2025-09-18,10:05,1.28,tp,96.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-09-15,10:00,2025-10-31,46,SP645 / LP630,put_short=-0.290,660.65,0.1588,2.14,,1,0.1,557,2025-10-07,09:35,1.26,tp,86.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-09-29,10:05,2025-11-21,53,SP645 / LP630,put_short=-0.282,664.52,0.1754,2.02,,1,0.1,777,2025-10-27,09:30,0.9,tp,110.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-10-13,10:00,2025-11-21,39,SP645 / LP630,put_short=-0.290,662.88,0.1881,2.31,,1,0.1,513,2025-10-27,09:30,0.9,tp,139.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-10-06,10:00,2025-11-21,46,SP655 / LP640,put_short=-0.282,670.01,0.1449,2.24,,1,0.1,770,2025-10-28,09:30,1.12,tp,110.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-11-03,10:00,2025-12-19,46,SP665 / LP650,put_short=-0.280,682.53,0.1614,2.6,,1,0.1,652,2025-11-21,10:20,8.14,stop,-555.3
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-10-27,10:00,2025-12-19,53,SP670 / LP655,put_short=-0.313,683.08,0.1476,2.56,,1,0.1,808,2025-11-28,09:30,2.71,time_exit_21dte,-16.3
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-11-10,10:00,2025-12-19,39,SP660 / LP645,put_short=-0.282,678.54,0.1814,2.23,,1,0.1,555,2025-11-28,09:35,1.93,time_exit_21dte,28.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-11-24,10:00,2026-01-16,53,SP645 / LP630,put_short=-0.313,664.04,0.2091,2.75,,1,0.1,590,2025-12-01,13:15,1.57,tp,116.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-12-01,10:00,2026-01-16,46,SP665 / LP650,put_short=-0.292,681.45,0.1637,2.59,,1,0.1,634,2025-12-23,09:30,1.45,tp,112.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-12-08,10:00,2026-01-16,39,SP670 / LP655,put_short=-0.290,685.44,0.1601,2.26,,1,0.1,478,2025-12-24,11:05,1.31,tp,93.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-12-15,10:10,2026-01-30,46,SP670 / LP655,put_short=-0.316,682.43,0.1499,2.8,,1,0.1,374,2026-01-06,12:35,1.58,tp,120.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-12-29,10:00,2026-02-20,53,SP675 / LP660,put_short=-0.300,687.56,0.1315,2.6,,1,0.1,777,2026-01-30,09:30,2.065,time_exit_21dte,52.2
p4_spy_45dte_putspread_noivr,SPY,bull_put,2026-01-05,10:00,2026-02-20,46,SP675 / LP660,put_short=-0.315,687.06,0.1447,2.51,,1,0.1,651,2026-01-30,09:30,2.065,time_exit_21dte,43.2
p4_spy_45dte_putspread_noivr,SPY,bull_put,2026-01-12,10:05,2026-02-20,39,SP680 / LP665,put_short=-0.291,693.63,0.1427,2.25,,1,0.1,521,2026-01-30,09:30,2.435,time_exit_21dte,-19.8
p4_spy_45dte_putspread_noivr,SPY,bull_put,2026-02-02,10:00,2026-03-20,46,SP680 / LP665,put_short=-0.320,692.7,0.1551,2.59,,1,0.1,685,2026-02-27,09:30,3.84,time_exit_21dte,-126.3
p4_spy_45dte_putspread_noivr,SPY,bull_put,2026-02-09,10:00,2026-03-20,39,SP675 / LP660,put_short=-0.297,690.4,0.1659,2.56,,1,0.1,597,2026-02-27,09:30,3.28,time_exit_21dte,-73.3
